Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
17,permit,2000,Ex7c,9459246522500,9485087531000,25841008500
18,permit,2000,Ex7c,9485087636100,9511161883800,26074247700
19,permit,2000,Ex7c,9511162086400,9537169375800,26007289400
20,permit,2000,Ex7c,9537169486100,9563048560200,25879074100
21,permit,2000,Ex7c,9563048663100,9589055300100,26006637000
22,permit,2000,Ex7c,9589055422100,9615281983700,26226561600
23,permit,2000,Ex7c,9615282096700,9641838708400,26556611700
24,permit,2000,Ex7c,9641838816000,9667808793900,25969977900
25,permit,2000,Ex7c,9667808910300,9693951537700,26142627400
1,permit,5000,Ex7c,9693951656000,9760696861500,66745205500
2,permit,5000,Ex7c,9760696962600,9826797548200,66100585600
3,permit,5000,Ex7c,9826797676800,9891275199700,64477522900
4,permit,5000,Ex7c,9891275330600,9956461375000,65186044400
5,permit,5000,Ex7c,9956461465500,10022029992700,65568527200
6,permit,5000,Ex7c,10022030102300,10087179931000,65149828700
7,permit,5000,Ex7c,10087180048200,10152943580400,65763532200
8,permit,5000,Ex7c,10152943681000,10218793188600,65849507600
9,permit,5000,Ex7c,10218793314900,10289628310800,70834995900
10,permit,5000,Ex7c,10289628409300,10355810754800,66182345500
11,permit,5000,Ex7c,10355810897800,10421714459300,65903561500
12,permit,5000,Ex7c,10421714576300,10489930917900,68216341600
13,permit,5000,Ex7c,10489931041400,10556959691100,67028649700
14,permit,5000,Ex7c,10556959798500,10623641696800,66681898300
15,permit,5000,Ex7c,10623641816000,10690600647100,66958831100
16,permit,5000,Ex7c,10690600800900,10759925455500,69324654600
17,permit,5000,Ex7c,10759925610300,10828071598800,68145988500
18,permit,5000,Ex7c,10828071699300,10896999996400,68928297100
19,permit,5000,Ex7c,10897000218300,10966181884100,69181665800
20,permit,5000,Ex7c,10966181984800,11034367139600,68185154800
21,permit,5000,Ex7c,11034367258600,11102517746600,68150488000
22,permit,5000,Ex7c,11102517849500,11174925557200,72407707700
23,permit,5000,Ex7c,11174925663100,11244397774500,69472111400
24,permit,5000,Ex7c,11244397889500,11314747180400,70349290900
25,permit,5000,Ex7c,11314747297100,11384566945400,69819648300
1,permit,10000,Ex7c,11384567082100,11532822763000,148255680900
2,permit,10000,Ex7c,11532822924400,11680649071100,147826146700
3,permit,10000,Ex7c,11680649175800,11826098352300,145449176500
4,permit,10000,Ex7c,11826098472300,11969794108600,143695636300
5,permit,10000,Ex7c,11969794221900,12120055419200,150261197300
6,permit,10000,Ex7c,12120055536900,12274813005600,154757468700
7,permit,10000,Ex7c,12274813118600,12428065897100,153252778500
8,permit,10000,Ex7c,12428066023300,12581332313800,153266290500
9,permit,10000,Ex7c,12581332413600,12733924054500,152591640900
10,permit,10000,Ex7c,12733924273300,12884415285600,150491012300
11,permit,10000,Ex7c,12884415386100,13044696227800,160280841700
12,permit,10000,Ex7c,13044696328600,13200927545300,156231216700
13,permit,10000,Ex7c,13200927647100,13354675042300,153747395200
14,permit,10000,Ex7c,13354675140100,13513973953400,159298813300
15,permit,10000,Ex7c,13513974078600,13674559983000,160585904400
16,permit,10000,Ex7c,13674560087700,13831150486700,156590399000
17,permit,10000,Ex7c,13831150591000,13996903976800,165753385800
18,permit,10000,Ex7c,13996904135900,14160384018600,163479882700
19,permit,10000,Ex7c,14160384121100,14318469504000,158085382900
20,permit,10000,Ex7c,14318469613400,14477035476700,158565863300
21,permit,10000,Ex7c,14477035600600,14640078300700,163042700100
22,permit,10000,Ex7c,14640078413700,14806004512800,165926099100
23,permit,10000,Ex7c,14806004640900,14975412522100,169407881200
24,permit,10000,Ex7c,14975412632200,15136148601200,160735969000
25,permit,10000,Ex7c,15136148719300,15297177834600,161029115300
