Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
5,permit,500,Ex7a,1612265440900,1613955297700,1689856800
6,permit,500,Ex7a,1613955369300,1615659265800,1703896500
7,permit,500,Ex7a,1615659336800,1617375590100,1716253300
8,permit,500,Ex7a,1617375655100,1619083620800,1707965700
9,permit,500,Ex7a,1619083688300,1620792012000,1708323700
10,permit,500,Ex7a,1620792078500,1622482687500,1690609000
11,permit,500,Ex7a,1622482756800,1624178852700,1696095900
12,permit,500,Ex7a,1624178948700,1625882516800,1703568100
13,permit,500,Ex7a,1625882589800,1627599268700,1716678900
14,permit,500,Ex7a,1627599341400,1629314306600,1714965200
15,permit,500,Ex7a,1629314371900,1631023504900,1709133000
16,permit,500,Ex7a,1631023573500,1632743455000,1719881500
17,permit,500,Ex7a,1632743522000,1634435456400,1691934400
18,permit,500,Ex7a,1634435621200,1636135598400,1699977200
19,permit,500,Ex7a,1636135678800,1637853345000,1717666200
20,permit,500,Ex7a,1637853414500,1639564186900,1710772400
21,permit,500,Ex7a,1639564281200,1641275436600,1711155400
22,permit,500,Ex7a,1641275507600,1642995650700,1720143100
23,permit,500,Ex7a,1642995717900,1644701922600,1706204700
24,permit,500,Ex7a,1644701989900,1646407149200,1705159300
25,permit,500,Ex7a,1646407217500,1648126088100,1718870600
1,permit,1000,Ex7a,1648126171700,1651555409500,3429237800
2,permit,1000,Ex7a,1651555478700,1655010936700,3455458000
3,permit,1000,Ex7a,1655011018100,1658452904900,3441886800
4,permit,1000,Ex7a,1658453014000,1661902842500,3449828500
5,permit,1000,Ex7a,1661902909000,1665357548500,3454639500
6,permit,1000,Ex7a,1665357638200,1668841114900,3483476700
7,permit,1000,Ex7a,1668841253600,1672289882400,3448628800
8,permit,1000,Ex7a,1672289945400,1675733566800,3443621400
9,permit,1000,Ex7a,1675733629800,1679217481900,3483852100
10,permit,1000,Ex7a,1679217548600,1682668453800,3450905200
11,permit,1000,Ex7a,1682668516800,1686130625800,3462109000
12,permit,1000,Ex7a,1686130688500,1689622786900,3492098400
13,permit,1000,Ex7a,1689622894600,1693108313800,3485419200
14,permit,1000,Ex7a,1693108377500,1696578297100,3469919600
15,permit,1000,Ex7a,1696578370200,1700068810400,3490440200
16,permit,1000,Ex7a,1700068873600,1703552399800,3483526200
17,permit,1000,Ex7a,1703552463100,1707055605500,3503142400
18,permit,1000,Ex7a,1707055670400,1710544191600,3488521200
19,permit,1000,Ex7a,1710544265800,1714041305200,3497039400
20,permit,1000,Ex7a,1714041384700,1717563896600,3522511900
21,permit,1000,Ex7a,1717563957800,1721110312200,3546354400
22,permit,1000,Ex7a,1721110407300,1724638714500,3528307200
23,permit,1000,Ex7a,1724638778500,1728150756800,3511978300
24,permit,1000,Ex7a,1728150819400,1731669045800,3518226400
25,permit,1000,Ex7a,1731669108600,1735190438600,3521330000
1,permit,2000,Ex7a,1735190523000,1742227676100,7037153100
2,permit,2000,Ex7a,1742227739100,1749302508700,7074769600
3,permit,2000,Ex7a,1749302580300,1756416457300,7113877000
4,permit,2000,Ex7a,1756416520300,1763503466000,7086945700
5,permit,2000,Ex7a,1763503560100,1770614853800,7111293700
6,permit,2000,Ex7a,1770614915200,1777755931100,7141015900
7,permit,2000,Ex7a,1777756008600,1784876782500,7120773900
8,permit,2000,Ex7a,1784876867300,1792027413900,7150546600
9,permit,2000,Ex7a,1792027478000,1799967096900,7939618900
10,permit,2000,Ex7a,1799967170700,1807655226800,7688056100
11,permit,2000,Ex7a,1807655290000,1815360425200,7705135200
12,permit,2000,Ex7a,1815360487800,1823092408200,7731920400
13,permit,2000,Ex7a,1823092471200,1830876346700,7783875500
14,permit,2000,Ex7a,1830876438800,1839433540800,8557102000
15,permit,2000,Ex7a,1839433638100,1847706485200,8272847100
16,permit,2000,Ex7a,1847706550800,1855924028100,8217477300
17,permit,2000,Ex7a,1855924090500,1864525204700,8601114200
18,permit,2000,Ex7a,1864525269800,1873384296400,8859026600
19,permit,2000,Ex7a,1873384364100,1882287524600,8903160500
20,permit,2000,Ex7a,1882287593100,1891145231100,8857638000
21,permit,2000,Ex7a,1891145297200,1899680375300,8535078100
22,permit,2000,Ex7a,1899680524600,1908073909000,8393384400
23,permit,2000,Ex7a,1908073976000,1916247627500,8173651500
24,permit,2000,Ex7a,1916247697500,1924198355600,7950658100
25,permit,2000,Ex7a,1924198416700,1932094704000,7896287300
1,permit,5000,Ex7a,1932094789300,1952199203800,20104414500
2,permit,5000,Ex7a,1952199268800,1972727930900,20528662100
3,permit,5000,Ex7a,1972727996000,1995556493100,22828497100
4,permit,5000,Ex7a,1995556561700,2016764683600,21208121900
5,permit,5000,Ex7a,2016764764400,2037628021200,20863256800
6,permit,5000,Ex7a,2037628195600,2058459924400,20831728800
7,permit,5000,Ex7a,2058459993300,2079407147900,20947154600
8,permit,5000,Ex7a,2079407211300,2100723069100,21315857800
9,permit,5000,Ex7a,2100723133500,2123592125799,22868992299
10,permit,5000,Ex7a,2123592287399,2144934462400,21342175001
11,permit,5000,Ex7a,2144934532200,2167629690000,22695157800
12,permit,5000,Ex7a,2167629755300,2189399755399,21770000099
13,permit,5000,Ex7a,2189399896200,2211046398500,21646502300
14,permit,5000,Ex7a,2211046509600,2232910294800,21863785200
15,permit,5000,Ex7a,2232910364700,2256857012800,23946648100
16,permit,5000,Ex7a,2256857158400,2278906405300,22049246900
17,permit,5000,Ex7a,2278906478800,2301102061400,22195582600
18,permit,5000,Ex7a,2301102202400,2323430410500,22328208100
19,permit,5000,Ex7a,2323430473200,2345802603600,22372130400
20,permit,5000,Ex7a,2345802684100,2368270464500,22467780400
21,permit,5000,Ex7a,2368270528800,2390872746100,22602217300
22,permit,5000,Ex7a,2390872885000,2413608848500,22735963500
23,permit,5000,Ex7a,2413608949800,2436393252800,22784303000
24,permit,5000,Ex7a,2436393330200,2459353864800,22960534600
25,permit,5000,Ex7a,2459353994700,2482401979000,23047984300
1,permit,10000,Ex7a,2482402088700,2528844688200,46442599500
2,permit,10000,Ex7a,2528844867900,2575684557000,46839689100
3,permit,10000,Ex7a,2575684661600,2623244914600,47560253000
4,permit,10000,Ex7a,2623245042400,2673018632900,49773590500
5,permit,10000,Ex7a,2673018779400,2732828013500,59809234100
6,permit,10000,Ex7a,2732828523800,2795610224700,62781700900
7,permit,10000,Ex7a,2795610578700,2856873531400,61262952700
8,permit,10000,Ex7a,2856873804700,2918548198400,61674393700
9,permit,10000,Ex7a,2918548484700,2981145313100,62596828400
10,permit,10000,Ex7a,2981145561300,3044552711900,63407150600
11,permit,10000,Ex7a,3044553043200,3108385422700,63832379500
12,permit,10000,Ex7a,3108385669000,3172727588100,64341919100
13,permit,10000,Ex7a,3172727938800,3237575399500,64847460700
14,permit,10000,Ex7a,3237575762200,3303657203500,66081441300
15,permit,10000,Ex7a,3303657379000,3370423215000,66765836000
16,permit,10000,Ex7a,3370423372200,3437675314400,67251942200
17,permit,10000,Ex7a,3437675505400,3505286085500,67610580100
18,permit,10000,Ex7a,3505286269500,3573782128300,68495858800
19,permit,10000,Ex7a,3573782287900,3642682533000,68900245100
20,permit,10000,Ex7a,3642682674300,3716051173800,73368499500
21,permit,10000,Ex7a,3716051359600,3786791880800,70740521200
22,permit,10000,Ex7a,3786792041400,3857804677000,71012635600
23,permit,10000,Ex7a,3857805000400,3930217395600,72412395200
24,permit,10000,Ex7a,3930217628700,4003671214000,73453585300
25,permit,10000,Ex7a,4003671377100,4077419193200,73747816100
