Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
7,permit,10000,Ex7d,20358033828900,20563469600700,205435771800
8,permit,10000,Ex7d,20563469714000,20768603602000,205133888000
9,permit,10000,Ex7d,20768603825300,20973748208000,205144382700
10,permit,10000,Ex7d,20973748312300,21183426009000,209677696700
11,permit,10000,Ex7d,21183426117000,21391283994500,207857877500
12,permit,10000,Ex7d,21391284121100,21593761611200,202477490100
13,permit,10000,Ex7d,21593761729100,21802020579500,208258850400
14,permit,10000,Ex7d,21802020706800,22010609103100,208588396300
15,permit,10000,Ex7d,22010609217200,22224826231500,214217014300
16,permit,10000,Ex7d,22224826334800,22435264616900,210438282100
17,permit,10000,Ex7d,22435264758300,22646990954600,211726196300
18,permit,10000,Ex7d,22646991060200,22858434975100,211443914900
19,permit,10000,Ex7d,22858435092000,23072894698500,214459606500
20,permit,10000,Ex7d,23072894798700,23284008680700,211113882000
21,permit,10000,Ex7d,23284008790000,23497911495100,213902705100
22,permit,10000,Ex7d,23497911608900,23713416083500,215504474600
23,permit,10000,Ex7d,23713416189700,23931891825900,218475636200
24,permit,10000,Ex7d,23931892034700,24149069047400,217177012700
25,permit,10000,Ex7d,24149069175500,24364378566900,215309391400
