Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
9,permit,500,Ex7b,4178292627800,4181902946800,3610319000
10,permit,500,Ex7b,4181903070600,4185546743099,3643672499
11,permit,500,Ex7b,4185546909500,4189029293300,3482383800
12,permit,500,Ex7b,4189029400700,4192508182499,3478781799
13,permit,500,Ex7b,4192508312000,4196148531500,3640219500
14,permit,500,Ex7b,4196148651700,4199757399899,3608748199
15,permit,500,Ex7b,4199757506700,4203361504200,3603997500
16,permit,500,Ex7b,4203361688300,4206949011800,3587323500
17,permit,500,Ex7b,4206949119699,4210500189200,3551069501
18,permit,500,Ex7b,4210500312100,4214052362600,3552050500
19,permit,500,Ex7b,4214052470100,4217592475200,3540005100
20,permit,500,Ex7b,4217592617999,4221197780200,3605162201
21,permit,500,Ex7b,4221197902400,4224732167400,3534265000
22,permit,500,Ex7b,4224732275000,4228426726900,3694451900
23,permit,500,Ex7b,4228426838800,4231937641400,3510802600
24,permit,500,Ex7b,4231937752900,4235528897100,3591144200
25,permit,500,Ex7b,4235529022200,4239064661000,3535638800
1,permit,1000,Ex7b,4239064786600,4246561820099,7497033499
2,permit,1000,Ex7b,4246561953800,4253869270800,7307317000
3,permit,1000,Ex7b,4253869386999,4261253242699,7383855700
4,permit,1000,Ex7b,4261253384500,4268516327900,7262943400
5,permit,1000,Ex7b,4268516437900,4275807053900,7290616000
6,permit,1000,Ex7b,4275807163200,4283172799600,7365636400
7,permit,1000,Ex7b,4283172936199,4290362563300,7189627101
8,permit,1000,Ex7b,4290362703800,4297676671000,7313967200
9,permit,1000,Ex7b,4297676779600,4304989066700,7312287100
10,permit,1000,Ex7b,4304989173000,4312331699900,7342526900
11,permit,1000,Ex7b,4312331811299,4319687476299,7355665000
12,permit,1000,Ex7b,4319687615099,4327023364500,7335749401
13,permit,1000,Ex7b,4327023472400,4334362876299,7339403899
14,permit,1000,Ex7b,4334362986400,4341719683900,7356697500
15,permit,1000,Ex7b,4341719790800,4349046291300,7326500500
16,permit,1000,Ex7b,4349046414400,4356454519600,7408105200
17,permit,1000,Ex7b,4356454656000,4363909817800,7455161800
18,permit,1000,Ex7b,4363909938900,4371285170100,7375231200
19,permit,1000,Ex7b,4371285290600,4378580948500,7295657900
20,permit,1000,Ex7b,4378581096199,4385839396999,7258300800
21,permit,1000,Ex7b,4385839568900,4393180938000,7341369100
22,permit,1000,Ex7b,4393181052799,4400572071800,7391019001
23,permit,1000,Ex7b,4400572212900,4408255698600,7683485700
24,permit,1000,Ex7b,4408255827000,4415677150200,7421323200
25,permit,1000,Ex7b,4415677301500,4423085428900,7408127400
1,permit,2000,Ex7b,4423085593400,4438008017400,14922424000
2,permit,2000,Ex7b,4438008144700,4453621773700,15613629000
3,permit,2000,Ex7b,4453621894500,4469197413900,15575519400
4,permit,2000,Ex7b,4469197597900,4484736459400,15538861500
5,permit,2000,Ex7b,4484736580600,4500299146500,15562565900
6,permit,2000,Ex7b,4500299254400,4516021925600,15722671200
7,permit,2000,Ex7b,4516022048900,4531757749700,15735700800
8,permit,2000,Ex7b,4531757877800,4547417605800,15659728000
9,permit,2000,Ex7b,4547417714500,4567562782700,20145068200
10,permit,2000,Ex7b,4567562894200,4583820589300,16257695100
11,permit,2000,Ex7b,4583820700300,4599639320100,15818619800
12,permit,2000,Ex7b,4599639441900,4615530022900,15890581000
13,permit,2000,Ex7b,4615530161800,4631601290100,16071128300
14,permit,2000,Ex7b,4631601421800,4647568981900,15967560100
15,permit,2000,Ex7b,4647569095900,4663536458800,15967362900
16,permit,2000,Ex7b,4663536570400,4679549230600,16012660200
17,permit,2000,Ex7b,4679549338800,4695562134600,16012795800
18,permit,2000,Ex7b,4695562245200,4711482997800,15920752600
19,permit,2000,Ex7b,4711483127600,4727644538000,16161410400
20,permit,2000,Ex7b,4727644646600,4743802783800,16158137200
21,permit,2000,Ex7b,4743802983300,4760094335100,16291351800
22,permit,2000,Ex7b,4760094447100,4776190679700,16096232600
23,permit,2000,Ex7b,4776190792400,4792332862500,16142070100
24,permit,2000,Ex7b,4792332967900,4808373948000,16040980100
25,permit,2000,Ex7b,4808374055500,4824887781100,16513725600
1,permit,5000,Ex7b,4824887943300,4866632050400,41744107100
2,permit,5000,Ex7b,4866632164800,4908643897800,42011733000
3,permit,5000,Ex7b,4908644015200,4950626863000,41982847800
4,permit,5000,Ex7b,4950626971200,4993050462600,42423491400
5,permit,5000,Ex7b,4993050623100,5035761993600,42711370500
6,permit,5000,Ex7b,5035762130900,5078680798300,42918667400
7,permit,5000,Ex7b,5078680906200,5121132915900,42452009700
8,permit,5000,Ex7b,5121133035200,5164451765800,43318730600
9,permit,5000,Ex7b,5164451875100,5207374745900,42922870800
10,permit,5000,Ex7b,5207374854200,5250568557000,43193702800
11,permit,5000,Ex7b,5250568664500,5293846054400,43277389900
12,permit,5000,Ex7b,5293846175700,5337342863800,43496688100
13,permit,5000,Ex7b,5337343003800,5380830584200,43487580400
14,permit,5000,Ex7b,5380830712400,5424025732000,43195019600
15,permit,5000,Ex7b,5424025856800,5468668894000,44643037200
16,permit,5000,Ex7b,5468669017100,5515832885700,47163868600
17,permit,5000,Ex7b,5515833020800,5559914194200,44081173400
18,permit,5000,Ex7b,5559914301500,5604297062400,44382760900
19,permit,5000,Ex7b,5604297173300,5648816542300,44519369000
20,permit,5000,Ex7b,5648816664800,5693357132700,44540467900
21,permit,5000,Ex7b,5693357284400,5738420177800,45062893400
22,permit,5000,Ex7b,5738420284300,5782923691600,44503407300
23,permit,5000,Ex7b,5782923801400,5828065809400,45142008000
24,permit,5000,Ex7b,5828065921100,5873671541900,45605620800
25,permit,5000,Ex7b,5873671651200,5919089205600,45417554400
1,permit,10000,Ex7b,5919089357500,6014057035800,94967678300
2,permit,10000,Ex7b,6014057174200,6109760791000,95703616800
3,permit,10000,Ex7b,6109760902800,6205842139900,96081237100
4,permit,10000,Ex7b,6205842280500,6302949768800,97107488300
5,permit,10000,Ex7b,6302949916000,6403501125900,100551209900
6,permit,10000,Ex7b,6403501251100,6501671025700,98169774600
7,permit,10000,Ex7b,6501671173700,6600734858500,99063684800
8,permit,10000,Ex7b,6600734987100,6699497807300,98762820200
9,permit,10000,Ex7b,6699497936700,6799490135300,99992198600
10,permit,10000,Ex7b,6799490264300,6900463377700,100973113400
11,permit,10000,Ex7b,6900463497000,7001810119900,101346622900
12,permit,10000,Ex7b,7001810250300,7103749937200,101939686900
13,permit,10000,Ex7b,7103750149500,7206421348800,102671199300
14,permit,10000,Ex7b,7206421463900,7313188638200,106767174300
15,permit,10000,Ex7b,7313188774900,7417353836600,104165061700
16,permit,10000,Ex7b,7417353966200,7521835316800,104481350600
17,permit,10000,Ex7b,7521835430000,7627197208400,105361778400
18,permit,10000,Ex7b,7627197339600,7733081003100,105883663500
19,permit,10000,Ex7b,7733081113400,7836167861300,103086747900
20,permit,10000,Ex7b,7836168237100,7934846776300,98678539200
21,permit,10000,Ex7b,7934846927300,8033962960600,99116033300
22,permit,10000,Ex7b,8033963073500,8139682372300,105719298800
23,permit,10000,Ex7b,8139682487500,8244355220400,104672732900
24,permit,10000,Ex7b,8244355345800,8346554430800,102199085000
25,permit,10000,Ex7b,8346554563800,8455703959300,109149395500
